#separator:tab
#html:true
#columns:Front	Back	Tags
Can you bring water for the child?	Tu ri kan teneveni a aku por nino, ker?<br>尔 ⊢ 能 有来 ⇒ 水 為 子, 何?<br>you RI can have-come A water for child, what?	pikotika level3 sentence
The water is good.	Aku ri pona.<br>水 ⊢ 好.<br>water RI good.	pikotika level3 sentence
I'm thirsty, but I don't want tea.	Eko ri pipevori, sets eko ri non vori a arpoaku.<br>己 ⊢ 飲求, 但 己 ⊢ 不 求 ⇒ 木水.<br>I RI drink-want, but I RI not want A plant-water.	pikotika level3 sentence
For a week.	1 senseyan turan.<br>1 7日 間.<br>1 seven-sun interval.	pikotika level3 sentence
begin; open	apa<br>开<br><i>hop a</i> fence and open the gate so we can begin!	pikotika level4 root
remain; stop	sista<br>止<br>de<i>sist</i> — stop and remain as you are	pikotika level4 root
become; turn into	tiven<br>成<br>tadpoles <i>dive in</i> and become frogs	pikotika level4 root
put; sit	seta<br>坐<br><i>set a</i> thing down, then sit on it	pikotika level4 root
in the past	yertempo<br>前时<br>before-time	pikotika level4 compound
in the future	tartempo<br>后时<br>after-time	pikotika level4 compound
if; possible	pos<br>可<br>if <i>pos</i>sible	pikotika level4 root
unlucky; unfortunate; unfortunately	marumpos<br>悪可<br>bad-if	pikotika level4 compound
Stay with us.	Pam sista kum ekomen.<br>乞 止 并 己众.<br>please remain and I-group.	pikotika level4 sentence
I'm sorry — I should have started earlier.	Eko ri perton: eko ri pospona apa yer vin.<br>己 ⊢ 悔: 己 ⊢ 可好 开 前 閉.<br>I RI sorry: I RI if-good begin before finish.	pikotika level4 sentence
I might have gone.	Eko ri pos ire vin.<br>己 ⊢ 可 行 閉.<br>I RI if go finish.	pikotika level4 sentence
head; chief	testa<br>头<br>your head is what gets <i>test</i>ed	pikotika level4 root
leg; foot	kampa<br>足<br>legs take you <i>camp</i>ing	pikotika level4 root
mouth; opening	puka<br>口<br><i>puck</i>er up	pikotika level4 root
taste; flavor	sapor<br>味<br>delicious syrup tastes like <i>sap or</i> something	pikotika level4 root
heal; health	sana<br>医<br>back to <i>san</i>e and <i>sani</i>tary	pikotika level4 root
walk	kampaire<br>足行<br>leg-go	pikotika level4 compound
doctor	sanaomo<br>医人<br>heal-person	pikotika level4 compound
boss	opustesta<br>力头<br>work-head	pikotika level4 compound
sick; hurt	mara<br>病<br>a night<i>mar</i>e leaves you sick	pikotika level4 root
pain; hurt; ache	marasenti<br>病心<br>sick-feel	pikotika level4 compound
headache; nuisance	testamara<br>头病<br>head-sick	pikotika level4 compound
I ask the cook to make it not spicy.	Eko ri voritika ver komivakeomo a tis ri tiven non wosapor.<br>己 ⊢ 求言 向 食作人 ⇒ 此 ⊢ 成 不 火味.<br>I RI want-say to food-make-person A this RI become not hot-taste.	pikotika level4 sentence
A man will come tomorrow to fix it.	Yantar, wun omo ri veni por sana a tis.<br>日后, 1 人 ⊢ 来 為 医 ⇒ 此.<br>sun-after, one person RI come for heal A this.	pikotika level4 sentence
Walk five minutes.	Pam 5 parte turan kampaire.<br>乞 5 分 間 足行.<br>please 5 part interval leg-go.	pikotika level4 sentence
meat	karne<br>肉<br><i>carni</i>vores eat meat	pikotika level4 root
milk; dairy	raten<br>乳<br><i>rotten</i> milk turns into delicious cheese	pikotika level4 root
cold; ice	rikus<br>冷<br>the <i>reek is</i> reduced since we froze it to ice	pikotika level4 root
sound; hear	oti<br>耳<br>I can hear the sound because it's <i>audi</i>ble	pikotika level4 root
cat; pet	kasepeste<br>户匹<br>home-animal	pikotika level4 compound
cutlery	komiuter<br>食工<br>food-tool	pikotika level4 compound
spicy	wosapor<br>火味<br>hot-taste	pikotika level4 compound
No ice, please.	Nem rikus, pam.<br>无 冷, 乞.<br>no cold, please.	pikotika level4 sentence
Iced tea, please.	Rikusarpoaku, pam.<br>冷木水, 乞.<br>cold-plant-water, please.	pikotika level4 sentence
Do you have anything without meat?	Tu ri tene a non karne komi, ker?<br>尔 ⊢ 有 ⇒ 不 肉 食, 何?<br>you RI have A not meat food, what?	pikotika level4 sentence
bend; turn	kurva<br>弓<br><i>curve</i>	pikotika level4 root
line; thread	rine<br>糸<br>a <i>line</i> of thread	pikotika level4 root
round; ball	rotun<br>丸<br><i>rotun</i>d	pikotika level4 root
straight; direct	reto<br>直<br>direct and st<i>raight-o</i>	pikotika level4 root
edge; margin	rante<br>边<br>stand at the edge and <i>rant</i>	pikotika level4 root
back; behind	rets<br>反<br><i>let's</i> go back to what's behind us	pikotika level4 root
picture; image	pitur<br>画<br><i>pictur</i>e	pikotika level4 root
electric; digital	vorto<br>電<br><i>volt</i>s make it go	pikotika level4 root
beach; seashore	mekaakurante<br>大水边<br>big-water-edge	pikotika level4 compound
triangle	tetsekurva<br>3弓<br>three-bend	pikotika level4 compound
public transit; transit	rinekaro<br>糸车<br>line-vehicle	pikotika level4 compound
train	metarrinekaro<br>金糸车<br>metal-line-vehicle	pikotika level4 compound
bus	muromokaro<br>多人车<br>many-person-vehicle	pikotika level4 compound
return; go back	retsire<br>反行<br>back-go	pikotika level4 compound
lamp; electric light	vortoyan<br>電日<br>electric-sun	pikotika level4 compound
telephone; phone; call	vortotika<br>電言<br>electric-say	pikotika level4 compound
I have a black-and-white picture.	Eko ri tene a nero kum anka pitur.<br>己 ⊢ 有 ⇒ 黒 并 白 画.<br>I RI have A black and white picture.	pikotika level4 sentence
I'll drive back tomorrow.	Yantar, eko ri karoire rets.<br>日后, 己 ⊢ 车行 反.<br>sun-after, I RI vehicle-go back.	pikotika level4 sentence
And forty back.	Kum 40 retsemoni.<br>并 40 反贝.<br>and 40 back-money.	pikotika level4 sentence
rain	ruva<br>雨<br>rain drumming on the <i>roof</i>	pikotika level4 root
city; town	sitas<br>市<br><i>cities</i>	pikotika level4 root
spring (season)	arpotempo<br>木时<br>plant-time	pikotika level4 compound
summer	wotempo<br>火时<br>hot-time	pikotika level4 compound
autumn; fall	pomotempo<br>果时<br>fruit-time	pikotika level4 compound
winter	rikustempo<br>冷时<br>cold-time	pikotika level4 compound
river	ronkaaku<br>长水<br>long-water	pikotika level4 compound
mountain	surtera<br>上土<br>up-earth	pikotika level4 compound
season	anyoparte<br>年分<br>year-part	pikotika level4 compound
rainy season; wet season	ruvatempo<br>雨时<br>rain-time	pikotika level4 compound
dry season	nonruvatempo<br>不雨时<br>not-rain-time	pikotika level4 compound
vacation; holiday	yuveniire<br>玩来行<br>play-come-go	pikotika level4 compound
It might rain.	Ri pos ruva.<br>⊢ 可 雨.<br>RI if rain.	pikotika level4 sentence
I'm going to Lisbon.	Eko ri ire ver sitas Rispan.<br>己 ⊢ 行 向 市 Rispan.<br>I RI go to city Lisbon.	pikotika level4 sentence
Listen — I'll be in your city next month.	Pam oti: 1 mese tar, eko ri in tu sitas.<br>乞 耳: 1 月 后, 己 ⊢ 内 尔 市.<br>please hear: 1 month after, I RI in you city.	pikotika level4 sentence
buy; commerce	kompar<br>買<br><i>compar</i>e prices, then buy	pikotika level4 root
give; send	tonar<br>与<br>be a blood <i>donor</i>: give blood to save lives	pikotika level4 root
choose; decision	erike<br>选<br><i>Erik</i> got <i>elected</i> in the election	pikotika level4 root
help; serve	servi<br>助<br><i>servi</i>ce with a smile	pikotika level4 root
number; numeral; digit	mesurtika<br>寸言<br>amount-say	pikotika level4 compound
shop	komparroko<br>買所<br>buy-place	pikotika level4 compound
company; corporation; firm	komparmen<br>買众<br>buy-group	pikotika level4 compound
The station is between the shop and the river.	Karoroko ri mets komparroko kum ronkaaku.<br>车所 ⊢ 中 買所 并 长水.<br>vehicle-place RI middle buy-place and long-water.	pikotika level4 sentence
Send me what you have.	Pam tonar a tu ri tene rite kosa ver eko.<br>乞 与 ⇒ 尔 ⊢ 有 ⊢> 物 向 己.<br>please give A you RI have RI-TE thing to me.	pikotika level4 sentence
Give me four.	Pam tonar a 4.<br>乞 与 ⇒ 4.<br>please give A 4.	pikotika level4 sentence
necessary; must	neses<br>要<br><i>neces</i>sary	pikotika level4 root
think; believe	pensa<br>思<br><i>pensi</i>ve thoughts	pikotika level4 root
learn; study	impar<br>学<br><i>impar</i>t your wisdom so I can learn it	pikotika level4 root
sleep; bed	tormi<br>床<br><i>dormi</i>tories provide beds for sleeping	pikotika level4 root
should	pospona<br>可好<br>if-good	pikotika level4 compound
school	imparroko<br>学所<br>learn-place	pikotika level4 compound
I need to charge my phone.	Eko ri neses tormi a eko vortotika.<br>己 ⊢ 要 床 ⇒ 己 電言.<br>I RI must sleep A me electric-say.	pikotika level4 sentence
I'm a teacher.	Eko ri impartonaromo.<br>己 ⊢ 学与人.<br>I RI learn-give-person.	pikotika level4 sentence
I think so.	Eko ri pensa a si.<br>己 ⊢ 思 ⇒ 是.<br>I RI think A yes.	pikotika level4 sentence
reason; because	rason<br>故<br><i>reason</i>	pikotika level4 root
fear; danger	timo<br>危<br><i>timi</i>d = afraid	pikotika level4 root
fight; conflict	patar<br>争<br>the <i>patter</i> of fists landing blows	pikotika level4 root
whatever; whichever thing	kerkosa<br>何物<br>what-thing	pikotika level4 compound
why	kerrason<br>何故<br>what-reason	pikotika level4 compound
therefore; that's why; for this reason	tisrason<br>此故<br>this-reason	pikotika level4 compound
If I had eaten, I wouldn't be hungry now.	Nonves eko ri komi vin, tisrason eko ri non komivori tistempo.<br>不真 己 ⊢ 食 閉, 此故 己 ⊢ 不 食求 此时.<br>not-true I RI food finish, this-reason I RI not food-want this-time.	pikotika level4 sentence
If I had the money, I would buy it.	Nonves eko ri tene a moni, tisrason eko ri kompar a tis.<br>不真 己 ⊢ 有 ⇒ 贝, 此故 己 ⊢ 買 ⇒ 此.<br>not-true I RI have A money, this-reason I RI buy A this.	pikotika level4 sentence
That explains it.	Tis ri rason.<br>此 ⊢ 故.<br>this RI reason.	pikotika level4 sentence
hard; difficult	sorin<br>硬<br>I'm <i>sore</i> from doing difficult stuff on a hard floor	pikotika level4 root
heavy; weight	pesa<br>重<br>a <i>peso</i> weighs heavy	pikotika level4 root
box; container	vaso<br>皿<br>a <i>vas</i>e is a container	pikotika level4 root
cloth; clothes	ropa<br>衣<br>tie your clothes with this <i>rope</i>	pikotika level4 root
door; gate	porta<br>門<br><i>porta</i>l	pikotika level4 root
age	anyoturan<br>年間<br>year-interval	pikotika level4 compound
young	anyopiko<br>年小<br>year-small	pikotika level4 compound
luggage; suitcase; baggage	irevaso<br>行皿<br>go-box	pikotika level4 compound
important; significant; essential	pesaneses<br>重要<br>heavy-necessary	pikotika level4 compound
Narrator: Alice looks in her wallet.	Tikakosaomo: Aras ri vite in monivaso.<br>言物人: Aras ⊢ 見 内 贝皿.<br>say-thing-person: Alice RI see in money-box.	pikotika level4 sentence
It's less important than that one.	Tis ri nonmas pesaneses vons nontis.<br>此 ⊢ 不更 重要 从 不此.<br>this RI not-more heavy-necessary than not-this.	pikotika level4 sentence
It becomes easier.	Tis ri tiven mas nonsorin.<br>此 ⊢ 成 更 不硬.<br>this RI become more not-hard.	pikotika level4 sentence
I'm good.	Eko ri pona.<br>己 ⊢ 好.<br>I RI good.	pikotika level4 sentence
I'm better now.	Eko ri mas pona in tistempo.<br>己 ⊢ 更 好 内 此时.<br>I RI more good in this-time.	pikotika level4 sentence
Ten minutes.	10 parte turan.<br>10 分 間.<br>10 part interval.	pikotika level4 sentence
body; physical	korpo<br>体<br>a <i>corp</i>se is a body	pikotika level5 root
hand; arm	manu<br>手<br>work a <i>manu</i>al transmission with your hand	pikotika level5 root
stomach; belly	venter<br>胃<br>food <i>enter</i>s the <i>venter</i>	pikotika level5 root
life; alive	viva<br>生<br><i>viva</i> la vida!	pikotika level5 root
ear	otiparte<br>耳分<br>hear-part	pikotika level5 compound
lend a hand; help out	manutonar<br>手与<br>hand-give	pikotika level5 compound
sport; athletics	korpoyu<br>体玩<br>body-play	pikotika level5 compound
Alice: Cash — here's 10 dollars.	Aras: Manumoni. Tis ri 10 moni.<br>Aras: 手贝. 此 ⊢ 10 贝.<br>Alice: hand-money. this RI 10 money.	pikotika level5 sentence
No, I live about two hours north. I came just for the party.	Non. Eko ri viva in pits ora turan ver sur. Eko ri veni son por yumen.<br>不. 己 ⊢ 生 内 2 刻 間 向 上. 己 ⊢ 来 只 為 玩众.<br>not. I RI life in two hour interval to up. I RI come only for play-group.	pikotika level5 sentence
Can you give me a hand?	Tu ri kan manutonar ver eko, ker?<br>尔 ⊢ 能 手与 向 己, 何?<br>you RI can hand-give to me, what?	pikotika level5 sentence
tired; weary	kansa<br>疲<br>too tired — I <i>can'</i>t	pikotika level5 root
anger; angry	raye<br>怒<br>a <i>rag</i>ing <i>ray</i> of fury	pikotika level5 root
surprise; unexpected	sorpe<br>奇<br><i>sorp</i>rise!	pikotika level5 root
calm	nonraye<br>不怒<br>not-anger	pikotika level5 compound
expect; anticipate	nonsorpe<br>不奇<br>not-surprise	pikotika level5 compound
annoyance	pikoraye<br>小怒<br>small-anger	pikotika level5 compound
smile	kontenpuka<br>楽口<br>happy-mouth	pikotika level5 compound
laugh	mekakontenpuka<br>大楽口<br>big-happy-mouth	pikotika level5 compound
kind (good-hearted); good-hearted; kindness	ponasenti<br>好心<br>good-feel	pikotika level5 compound
pride	ekoponasenti<br>己好心<br>me-good-feel	pikotika level5 compound
shame	ekomarumsenti<br>己悪心<br>me-bad-feel	pikotika level5 compound
I am tired. I need to go to bed!	Eko ri kansa. Eko ri neses tormi!<br>己 ⊢ 疲. 己 ⊢ 要 床!<br>I RI tired. I RI must sleep!	pikotika level5 sentence
If you're tired, we can go back.	Pos tu ri kansa, tisrason ekomen ri kan retsire.<br>可 尔 ⊢ 疲, 此故 己众 ⊢ 能 反行.<br>if you RI tired, this-reason I-group RI can back-go.	pikotika level5 sentence
I'm not tired.	Eko ri non kansa.<br>己 ⊢ 不 疲.<br>I RI not tired.	pikotika level5 sentence
or; otherwise	sive<br>或<br>this OR that — <i>sieve</i> one out	pikotika level5 root
other; different	ar<br>別<br>arr, it's anoth<i>arr</i> pirate	pikotika level5 root
agree; deal	akor<br>約<br>in <i>accor</i>d — deal!	pikotika level5 root
something else; anything else	arkosa<br>別物<br>other-thing	pikotika level5 compound
someone else; another person; others	aromo<br>別人<br>other-person	pikotika level5 compound
somewhere else; elsewhere	arroko<br>別所<br>other-place	pikotika level5 compound
anyway; by the way; incidentally	artopi<br>別件<br>other-about	pikotika level5 compound
Do you have a reservation?	Tu ri tene a yerakor, ker?<br>尔 ⊢ 有 ⇒ 前約, 何?<br>you RI have A before-agree, what?	pikotika level5 sentence
No, this is different.	Non, tis ri ar.<br>不, 此 ⊢ 別.<br>not, this RI other.	pikotika level5 sentence
Cold or warm?	Rikus sive wo, ker?<br>冷 或 火, 何?<br>cold or hot, what?	pikotika level5 sentence
art; craft	arti<br>芸<br>an <i>arti</i>st makes <i>art</i>	pikotika level5 root
temple; church	temper<br>寺<br>a <i>temp</i>le <i>temper</i>s the soul	pikotika level5 root
oil; grease	oren<br>油<br>digging for <i>ore 'n'</i> oil	pikotika level5 root
salt; salty	sares<br>塩<br><i>sa</i>lty <i>res</i>idue left after seawater evaporates	pikotika level5 root
museum	artikase<br>芸户<br>art-home	pikotika level5 compound
fried	orenvake<br>油作<br>oil-make	pikotika level5 compound
fried rice	orenankariso<br>油白米<br>oil-white-grain	pikotika level5 compound
Is it spicy?	Tis ri wosapor, ker?<br>此 ⊢ 火味, 何?<br>this RI hot-taste, what?	pikotika level5 sentence
It's raining.	Ri ruva.<br>⊢ 雨.<br>RI rain.	pikotika level5 sentence
bird	avis<br>鳥<br><i>avi</i>ary, <i>avi</i>ation — birds	pikotika level5 root
bug; worm	inses<br>虫<br><i>inse</i>ct	pikotika level5 root
dog; canine	kanis<br>犬<br><i>canis</i>, <i>canin</i>e, dog	pikotika level5 root
flock	avismen<br>鳥众<br>bird-group	pikotika level5 compound
egg	avisnino<br>鳥子<br>bird-child	pikotika level5 compound
poultry; chicken (meat)	aviskarne<br>鳥肉<br>bird-meat	pikotika level5 compound
pet dog	kasekanis<br>户犬<br>home-dog	pikotika level5 compound
Yesterday I saw the dog.	Yanyer, eko ri vite a kanis.<br>日前, 己 ⊢ 見 ⇒ 犬.<br>sun-before, I RI see A dog.	pikotika level5 sentence
The flock is flying over the sea.	Avismen ri ventoire sur mekaaku.<br>鳥众 ⊢ 风行 上 大水.<br>bird-group RI air-go up big-water.	pikotika level5 sentence
You see the dog, don't you?	Tu ri vite a kanis, non?<br>尔 ⊢ 見 ⇒ 犬, 不?<br>you RI see A dog, not?	pikotika level5 sentence
country; state	nasyon<br>国<br><i>nasyon</i> = <i>nation</i>	pikotika level5 root
friend; companion	ami<br>朋<br><i>ami</i>go, my friend	pikotika level5 root
law; allow	reke<br>法<br>the law says no <i>wrecki</i>ng stuff	pikotika level5 root
marry; spouse	maris<br>婚<br><i>Maurice</i> is <i>marri</i>ed	pikotika level5 root
easy	nonsorin<br>不硬<br>not-hard	pikotika level5 compound
comic book; comics; manga	piturmurkarta<br>画多片<br>picture-many-page	pikotika level5 compound
abroad; foreign; overseas	eksenasyon<br>外国<br>out-country	pikotika level5 compound
enemy	nonami<br>不朋<br>not-friend	pikotika level5 compound
illegal	nonreke<br>不法<br>not-law	pikotika level5 compound
spouse	marisomo<br>婚人<br>marry-person	pikotika level5 compound
It's not allowed.	Ri non reke.<br>⊢ 不 法.<br>RI not law.	pikotika level5 sentence
Did you ever travel abroad by ship?	Tu ri veniire ver eksenasyon in akukaro moto vin, ker?<br>尔 ⊢ 来行 向 外国 内 水车 方 閉, 何?<br>you RI come-go to out-country in water-vehicle manner finish, what?	pikotika level5 sentence
Is this allowed?	Ri reke a tis, ker?<br>⊢ 法 ⇒ 此, 何?<br>RI law A this, what?	pikotika level5 sentence
key; lock	yave<br>錠<br><i>shove</i> the key into the lock	pikotika level5 root
table; desk	tapur<br>机<br><i>tap your</i> fingers on the table	pikotika level5 root
toilet; restroom	panyu<br>便<br>the <i>pan</i> is for <i>you</i> to use as a toilet!	pikotika level5 root
relative clause marker	rite<br>⊢><br>RI-TE	pikotika level5 compound
return; come back	retseveni<br>反来<br>back-come	pikotika level5 compound
until; till; up to (in time)	retover<br>直向<br>straight-to	pikotika level5 compound
password	yavetika<br>錠言<br>key-say	pikotika level5 compound
Where is the bathroom?	Panyu ri kerroko?<br>便 ⊢ 何所?<br>toilet RI what-place?	pikotika level5 sentence
The key you gave me is on the table.	Tu ri tonar ver eko rite yave ri sur tapur.<br>尔 ⊢ 与 向 己 ⊢> 錠 ⊢ 上 机.<br>you RI give to me RI-TE key RI on table.	pikotika level5 sentence
Here is your key.	Tis ri tu yave.<br>此 ⊢ 尔 錠.<br>this RI you key.	pikotika level5 sentence
old; former	vetus<br>古<br>the <i>vete</i>ran is old	pikotika level5 root
clean; pure	puru<br>清<br><i>pure</i> and clean	pikotika level5 root
break; cut	rompe<br>切<br><i>romp</i>ing kids break things	pikotika level5 root
lose; misplace	perti<br>失<br>you <i>part</i>ed with it, now it's lost	pikotika level5 root
forget	sapeperti<br>知失<br>know-lose	pikotika level5 compound
knife (knife or scissors)	rompeuter<br>切工<br>break-tool	pikotika level5 compound
One thing — the light in the hall is broken.	Wun kosa: vortoyan in irekamar ri rompe vin.<br>1 物: 電日 内 行室 ⊢ 切 閉.<br>one thing: electric-sun in go-room RI break finish.	pikotika level5 sentence
Old songs, quiet.	Vetus musi, pikooti.<br>古 曲, 小耳.<br>old music, small-sound.	pikotika level5 sentence
Leave now, or you'll miss the train.	Pam eksire in tistempo, sive tu ri perti a metarrinekaro.<br>乞 外行 内 此时, 或 尔 ⊢ 失 ⇒ 金糸车.<br>please out-go in this-time, or you RI lose A metal-line-vehicle.	pikotika level5 sentence
left	sini<br>左<br>have you <i>seen</i> my left hand?	pikotika level5 root
right	rem<br>右<br><i>rem</i>ember: <i>r</i> is for <i>r</i>ight	pikotika level5 root
down; below	tun<br>下<br>a <i>tun</i>nel goes down	pikotika level5 root
far; distant	ron<br>遠<br><i>lon</i>g gone, far away	pikotika level5 root
flat; level	yano<br>平<br>flat as a p<i>iano</i> lid	pikotika level5 root
hole; gap	vuko<br>穴<br>oh <i>fuko</i>, there's hole blocking my way!	pikotika level5 root
north	mapasur<br>図上<br>map-up	pikotika level5 compound
south	mapatun<br>図下<br>map-down	pikotika level5 compound
west	mapasini<br>図左<br>map-left	pikotika level5 compound
east	maparem<br>図右<br>map-right	pikotika level5 compound
window	vitevuko<br>見穴<br>see-hole	pikotika level5 compound
evening; afternoon	tunyan<br>下日<br>down-sun	pikotika level5 compound
elevator; lift	surtunkamar<br>上下室<br>up-down-room	pikotika level5 compound
The party starts at 7 PM.	Yumen ri apa in tunyan 7 ora.<br>玩众 ⊢ 开 内 下日 7 刻.<br>play-group RI begin in down-sun 7 hour.	pikotika level5 sentence
Go straight to that big tree, then turn left.	Pam reto ire ver nontis meka arpo, tar pam kurva ver sini.<br>乞 直 行 向 不此 大 木, 后 乞 弓 向 左.<br>please straight go to not-this big plant, after please bend to left.	pikotika level5 sentence
Turn left at the next corner.	Pam kurva ver sini in tarorten kurvaroko.<br>乞 弓 向 左 内 后序 弓所.<br>please bend to left in after-sequence bend-place.	pikotika level5 sentence
I should go.	Eko ri pospona ire.<br>己 ⊢ 可好 行.<br>I RI if-good go.	pikotika level5 sentence
Practice, and you'll get it.	Tentarimpar, kum tu ri vite.<br>試学, 并 尔 ⊢ 見.<br>try-learn, and you RI understand.	pikotika level5 sentence
Excuse me, do you speak English?	Perton. Tu ri tika a Inkuris, ker?<br>悔. 尔 ⊢ 言 ⇒ Inkuris, 何?<br>sorry. you RI say A English, what?	pikotika level5 sentence
It's a tea shop that is green.	Tis ri verte arpoaku komparroko.<br>此 ⊢ 緑 木水 買所.<br>this RI green plant-water buy-place.	pikotika level5 sentence
